image_path,calories,protein,carbs,fat
../food-101/train\peking_duck\2553304.jpg,342.82,17.77,9.55,21.33
../food-101/train\peking_duck\255375.jpg,357.09,21.25,11.91,22.88
../food-101/train\peking_duck\2555404.jpg,331.89,20.91,8.06,28.05
../food-101/train\peking_duck\2561375.jpg,369.12,21.8,11.71,21.31
../food-101/train\peking_duck\2562312.jpg,322.87,17.86,11.06,26.99
../food-101/train\peking_duck\2571979.jpg,353.94,22.29,11.77,24.63
../food-101/train\peking_duck\2588312.jpg,335.76,21.7,11.66,23.89
../food-101/train\peking_duck\2595555.jpg,352.26,17.85,11.33,22.06
../food-101/train\peking_duck\25977.jpg,320.6,19.46,11.66,27.47
../food-101/train\peking_duck\2603775.jpg,343.33,20.24,9.05,22.19
../food-101/train\peking_duck\2606429.jpg,319.91,22.21,8.62,24.95
../food-101/train\peking_duck\2608512.jpg,319.73,21.67,9.81,27.61
../food-101/train\peking_duck\2610923.jpg,370.18,21.93,10.27,25.55
../food-101/train\peking_duck\2611812.jpg,321.31,21.92,11.23,26.27
../food-101/train\peking_duck\2616293.jpg,331.19,18.98,10.44,25.31
../food-101/train\peking_duck\2617888.jpg,320.55,17.14,9.62,27.08
../food-101/train\peking_duck\262993.jpg,344.13,18.79,10.33,21.3
../food-101/train\peking_duck\2631363.jpg,362.91,22.21,8.33,22.48
../food-101/train\peking_duck\2649318.jpg,370.46,21.88,8.85,22.74
../food-101/train\peking_duck\2657643.jpg,324.89,20.61,8.29,28.0
../food-101/train\peking_duck\2673314.jpg,367.66,22.41,9.41,24.07
../food-101/train\peking_duck\268518.jpg,324.08,19.16,8.88,22.55
../food-101/train\peking_duck\2690262.jpg,372.63,20.9,8.49,26.48
../food-101/train\peking_duck\2696613.jpg,311.66,17.11,9.2,28.63
../food-101/train\peking_duck\2701195.jpg,313.77,18.76,11.08,25.91
../food-101/train\peking_duck\2715626.jpg,367.72,19.15,11.39,26.09
../food-101/train\peking_duck\2716505.jpg,327.55,17.87,10.63,26.04
../food-101/train\peking_duck\272067.jpg,361.32,21.02,9.92,23.72
../food-101/train\peking_duck\272503.jpg,363.92,17.44,10.84,26.12
../food-101/train\peking_duck\2725135.jpg,367.51,17.42,8.59,27.72
../food-101/train\peking_duck\2725459.jpg,373.86,18.28,10.71,23.03
../food-101/train\peking_duck\272897.jpg,370.47,18.06,9.86,27.49
../food-101/train\peking_duck\272902.jpg,347.67,18.88,11.99,23.89
../food-101/train\peking_duck\2730096.jpg,343.92,18.58,9.71,23.24
../food-101/train\peking_duck\2732338.jpg,341.11,22.12,11.46,23.09
../food-101/train\peking_duck\2733518.jpg,365.56,21.93,10.32,26.34
../food-101/train\peking_duck\273406.jpg,320.9,19.21,8.27,25.67
../food-101/train\peking_duck\273947.jpg,321.68,17.88,11.16,26.57
../food-101/train\peking_duck\2745405.jpg,329.72,20.38,9.37,26.05
../food-101/train\peking_duck\2745673.jpg,313.45,18.66,8.83,23.08
../food-101/train\peking_duck\2749921.jpg,359.34,17.02,8.35,25.04
../food-101/train\peking_duck\2751208.jpg,313.13,18.43,10.04,27.51
../food-101/train\peking_duck\275713.jpg,352.43,17.99,11.95,27.65
../food-101/train\peking_duck\2760467.jpg,356.0,18.81,8.57,22.34
../food-101/train\peking_duck\2770082.jpg,355.16,21.26,9.02,27.92
../food-101/train\peking_duck\2773735.jpg,316.86,19.62,8.13,22.04
../food-101/train\peking_duck\2777407.jpg,371.59,21.79,9.19,27.56
../food-101/train\peking_duck\2793760.jpg,367.03,22.64,11.48,26.38
../food-101/train\peking_duck\2793835.jpg,336.41,18.03,9.02,21.32
../food-101/train\peking_duck\2795076.jpg,321.74,21.39,8.74,28.01
../food-101/train\peking_duck\2810362.jpg,331.75,18.83,9.14,26.09
../food-101/train\peking_duck\2813045.jpg,310.24,21.3,9.73,23.74
../food-101/train\peking_duck\2815551.jpg,359.27,20.21,9.34,25.76
../food-101/train\peking_duck\281742.jpg,371.03,17.96,8.69,28.09
../food-101/train\peking_duck\2817822.jpg,342.34,20.74,11.35,25.59
../food-101/train\peking_duck\2824039.jpg,365.81,18.9,8.32,21.28
../food-101/train\peking_duck\2825837.jpg,352.02,20.09,10.36,27.07
../food-101/train\peking_duck\2828885.jpg,313.95,22.72,8.85,22.96
../food-101/train\peking_duck\28290.jpg,348.73,20.68,9.12,27.53
../food-101/train\peking_duck\2829721.jpg,364.4,20.93,10.26,26.07
../food-101/train\peking_duck\2834109.jpg,359.16,19.5,9.1,27.25
../food-101/train\peking_duck\2834192.jpg,352.48,19.64,9.79,25.28
../food-101/train\peking_duck\2835502.jpg,371.29,22.44,8.35,21.4
../food-101/train\peking_duck\2837948.jpg,371.48,18.73,9.58,25.63
../food-101/train\peking_duck\2843419.jpg,345.29,21.32,8.32,25.8
../food-101/train\peking_duck\2844865.jpg,321.6,19.2,9.89,23.76
../food-101/train\peking_duck\2849960.jpg,327.0,19.98,9.79,23.41
../food-101/train\peking_duck\2851121.jpg,347.49,22.91,11.85,22.79
../food-101/train\peking_duck\2854588.jpg,361.96,22.71,9.69,27.4
../food-101/train\peking_duck\2856545.jpg,361.46,20.92,9.05,22.75
../food-101/train\peking_duck\2864681.jpg,323.41,20.02,10.02,22.59
../food-101/train\peking_duck\2870065.jpg,371.46,20.21,10.38,26.62
../food-101/train\peking_duck\2874142.jpg,324.22,19.87,8.61,26.33
../food-101/train\peking_duck\2886591.jpg,321.54,18.31,10.69,23.44
../food-101/train\peking_duck\2887819.jpg,332.84,17.05,8.14,27.49
../food-101/train\peking_duck\2888755.jpg,320.66,18.0,10.2,24.74
../food-101/train\peking_duck\288881.jpg,313.68,18.27,11.83,23.94
../food-101/train\peking_duck\2902226.jpg,318.16,22.79,8.45,22.16
../food-101/train\peking_duck\2902901.jpg,316.69,19.06,11.82,22.6
../food-101/train\peking_duck\2903856.jpg,372.39,18.85,11.43,26.05
../food-101/train\peking_duck\2903866.jpg,339.95,19.7,8.31,23.76
../food-101/train\peking_duck\2903881.jpg,314.64,19.83,8.77,23.61
../food-101/train\peking_duck\2905170.jpg,369.76,22.91,10.53,27.16
../food-101/train\peking_duck\2905864.jpg,368.14,22.8,9.05,28.2
../food-101/train\peking_duck\2907960.jpg,313.63,18.84,10.29,22.37
../food-101/train\peking_duck\2922000.jpg,372.12,21.3,11.12,23.3
../food-101/train\peking_duck\2923727.jpg,308.37,18.89,9.13,26.49
../food-101/train\peking_duck\2926971.jpg,338.1,17.29,8.66,25.38
../food-101/train\peking_duck\2929118.jpg,329.51,18.98,9.99,22.19
../food-101/train\peking_duck\2933270.jpg,368.17,17.34,9.18,23.91
../food-101/train\peking_duck\2933523.jpg,348.85,21.48,11.48,21.99
../food-101/train\peking_duck\2936035.jpg,315.52,21.91,10.98,26.52
../food-101/train\peking_duck\2939357.jpg,335.94,19.1,9.65,21.42
../food-101/train\peking_duck\2949983.jpg,368.07,20.76,10.62,23.43
../food-101/train\peking_duck\2956501.jpg,348.83,21.76,11.04,24.1
../food-101/train\peking_duck\2968301.jpg,373.43,20.65,10.57,26.19
../food-101/train\peking_duck\297185.jpg,323.6,17.58,10.18,22.47
../food-101/train\peking_duck\2972942.jpg,373.81,19.02,10.03,25.69
../food-101/train\peking_duck\2974054.jpg,321.35,20.99,11.45,23.6
../food-101/train\peking_duck\2977544.jpg,310.21,17.13,11.0,25.3
../food-101/train\peking_duck\2992004.jpg,344.5,21.93,10.38,27.35
../food-101/train\peking_duck\2998057.jpg,346.44,17.03,8.37,26.43
../food-101/train\peking_duck\299844.jpg,322.13,18.84,8.23,22.12
../food-101/train\peking_duck\2998527.jpg,349.57,22.28,8.2,22.58
../food-101/train\peking_duck\2999037.jpg,361.54,19.82,8.29,21.75
../food-101/train\peking_duck\3009471.jpg,345.45,18.82,9.42,23.53
../food-101/train\peking_duck\3011005.jpg,317.75,21.49,9.85,27.09
../food-101/train\peking_duck\3037660.jpg,323.98,22.36,11.61,22.1
../food-101/train\peking_duck\3046718.jpg,355.01,20.26,8.7,26.18
../food-101/train\peking_duck\3055613.jpg,361.85,21.85,10.9,28.67
../food-101/train\peking_duck\3074181.jpg,368.11,17.63,10.19,24.43
../food-101/train\peking_duck\30748.jpg,351.68,21.75,9.04,28.0
../food-101/train\peking_duck\3077240.jpg,316.43,18.51,9.95,23.05
../food-101/train\peking_duck\3081341.jpg,351.64,18.38,8.42,23.3
../food-101/train\peking_duck\3090440.jpg,308.74,21.35,10.91,27.86
../food-101/train\peking_duck\3095029.jpg,362.34,18.8,8.81,28.66
../food-101/train\peking_duck\3098728.jpg,309.46,18.89,8.9,24.36
../food-101/train\peking_duck\3101293.jpg,329.36,17.03,11.54,21.87
../food-101/train\peking_duck\3103715.jpg,323.73,23.0,11.91,22.74
../food-101/train\peking_duck\3104779.jpg,316.31,21.36,8.53,28.46
../food-101/train\peking_duck\310645.jpg,325.25,17.06,8.27,25.84
../food-101/train\peking_duck\3108595.jpg,328.13,20.74,11.9,25.83
../food-101/train\peking_duck\3115795.jpg,349.14,17.27,8.73,24.18
../food-101/train\peking_duck\3121933.jpg,350.56,20.63,10.74,21.57
../food-101/train\peking_duck\3125073.jpg,342.15,18.47,11.89,24.84
../food-101/train\peking_duck\3127293.jpg,368.11,22.95,8.23,27.02
../food-101/train\peking_duck\3127673.jpg,312.54,20.57,8.46,23.94
../food-101/train\peking_duck\313022.jpg,321.81,17.99,10.08,24.48
../food-101/train\peking_duck\3130375.jpg,360.7,17.33,8.23,23.12
../food-101/train\peking_duck\3130570.jpg,308.37,18.1,10.19,21.28
../food-101/train\peking_duck\3130911.jpg,366.83,19.85,8.31,28.02
../food-101/train\peking_duck\3132161.jpg,359.92,22.11,9.33,25.94
../food-101/train\peking_duck\3139402.jpg,354.25,20.03,9.22,28.53
../food-101/train\peking_duck\3140919.jpg,364.45,19.68,10.29,25.43
../food-101/train\peking_duck\3145284.jpg,334.27,18.15,9.59,23.69
../food-101/train\peking_duck\3147741.jpg,313.92,18.88,8.79,27.5
../food-101/train\peking_duck\3148555.jpg,312.01,19.29,9.6,28.72
../food-101/train\peking_duck\3151651.jpg,339.23,19.42,11.67,27.14
../food-101/train\peking_duck\3160679.jpg,311.74,18.21,9.46,25.93
../food-101/train\peking_duck\3164241.jpg,318.75,19.26,9.93,24.64
../food-101/train\peking_duck\3166051.jpg,337.58,20.75,10.16,23.1
../food-101/train\peking_duck\3175927.jpg,341.7,21.69,11.94,24.08
../food-101/train\peking_duck\3181971.jpg,338.88,19.56,11.32,22.36
../food-101/train\peking_duck\3195898.jpg,332.33,20.37,9.08,28.09
../food-101/train\peking_duck\3196375.jpg,338.4,19.02,10.9,24.51
../food-101/train\peking_duck\319966.jpg,365.33,22.69,10.37,22.75
../food-101/train\peking_duck\3205961.jpg,370.84,17.29,11.99,27.91
../food-101/train\peking_duck\3210528.jpg,335.94,17.22,8.84,21.93
../food-101/train\peking_duck\3225072.jpg,366.67,17.38,9.12,23.31
../food-101/train\peking_duck\3230185.jpg,371.99,18.34,11.76,27.87
../food-101/train\peking_duck\323022.jpg,320.68,22.95,9.33,28.37
../food-101/train\peking_duck\323353.jpg,341.99,19.04,10.98,23.64
../food-101/train\peking_duck\323355.jpg,317.12,17.27,8.37,24.96
../food-101/train\peking_duck\324148.jpg,369.14,22.36,8.64,23.42
../food-101/train\peking_duck\3251469.jpg,316.36,22.69,8.73,26.29
../food-101/train\peking_duck\3255147.jpg,358.34,22.64,9.28,22.68
../food-101/train\peking_duck\3265797.jpg,347.28,19.12,8.21,27.65
../food-101/train\peking_duck\3270633.jpg,337.03,19.62,11.06,27.83
../food-101/train\peking_duck\3289056.jpg,318.28,21.37,8.59,26.27
../food-101/train\peking_duck\3289492.jpg,373.05,22.56,8.03,22.91
../food-101/train\peking_duck\3296051.jpg,318.21,22.6,11.94,26.44
../food-101/train\peking_duck\329786.jpg,360.07,17.59,10.47,26.63
../food-101/train\peking_duck\3303138.jpg,333.37,20.41,10.7,23.37
../food-101/train\peking_duck\3309231.jpg,366.78,18.04,8.34,26.12
../food-101/train\peking_duck\3309801.jpg,329.38,22.12,9.82,22.99
../food-101/train\peking_duck\3311629.jpg,353.08,17.66,11.32,24.47
../food-101/train\peking_duck\3326387.jpg,310.58,22.48,9.43,25.91
../food-101/train\peking_duck\3329066.jpg,372.58,22.85,9.16,22.05
../food-101/train\peking_duck\3337672.jpg,326.02,20.57,9.92,27.09
../food-101/train\peking_duck\3338475.jpg,359.11,20.7,8.58,22.27
../food-101/train\peking_duck\334400.jpg,337.52,17.76,8.03,27.52
../food-101/train\peking_duck\3354079.jpg,311.64,19.79,9.48,21.26
../food-101/train\peking_duck\3355909.jpg,369.04,19.45,10.31,28.44
../food-101/train\peking_duck\3356909.jpg,344.76,20.12,11.41,25.87
../food-101/train\peking_duck\3362542.jpg,345.84,20.39,10.27,24.41
../food-101/train\peking_duck\3369310.jpg,365.45,22.08,11.94,27.6
../food-101/train\peking_duck\3370651.jpg,365.28,18.53,11.82,27.93
../food-101/train\peking_duck\3374064.jpg,313.42,17.78,10.85,21.33
../food-101/train\peking_duck\3379557.jpg,317.67,22.55,9.25,25.39
../food-101/train\peking_duck\3379804.jpg,345.51,20.03,11.43,26.4
../food-101/train\peking_duck\3381651.jpg,352.81,19.66,8.74,26.47
../food-101/train\peking_duck\339120.jpg,360.76,21.83,9.39,21.4
../food-101/train\peking_duck\3396299.jpg,362.39,18.87,11.05,25.21
../food-101/train\peking_duck\340118.jpg,339.25,17.03,8.95,24.77
../food-101/train\peking_duck\3416626.jpg,358.34,18.52,11.63,26.12
../food-101/train\peking_duck\3418768.jpg,352.8,22.5,9.12,22.65
../food-101/train\peking_duck\3419369.jpg,327.13,19.91,10.8,25.51
../food-101/train\peking_duck\3427310.jpg,353.48,18.59,11.1,23.63
../food-101/train\peking_duck\3433730.jpg,330.01,21.85,10.52,27.19
../food-101/train\peking_duck\343959.jpg,335.95,17.91,11.88,27.48
../food-101/train\peking_duck\3450409.jpg,357.05,17.61,8.06,21.53
../food-101/train\peking_duck\3466571.jpg,336.05,17.83,10.24,23.26
../food-101/train\peking_duck\347100.jpg,325.07,17.68,8.36,22.87
../food-101/train\peking_duck\3473569.jpg,325.96,20.43,8.81,26.79
../food-101/train\peking_duck\3473609.jpg,330.67,18.5,9.62,24.82
../food-101/train\peking_duck\3481088.jpg,345.52,22.02,8.14,22.74
../food-101/train\peking_duck\3485706.jpg,348.72,17.25,8.38,27.27
../food-101/train\peking_duck\3492317.jpg,368.07,22.21,10.75,25.38
../food-101/train\peking_duck\350968.jpg,309.33,19.22,9.53,25.99
../food-101/train\peking_duck\3518315.jpg,342.59,20.32,11.05,22.15
../food-101/train\peking_duck\3525495.jpg,315.31,21.49,10.05,24.72
../food-101/train\peking_duck\3532677.jpg,335.12,20.31,8.13,23.5
../food-101/train\peking_duck\353882.jpg,357.66,22.51,11.42,22.38
../food-101/train\peking_duck\3543277.jpg,325.57,18.68,9.81,21.61
../food-101/train\peking_duck\354369.jpg,368.21,21.08,9.35,26.76
../food-101/train\peking_duck\3545937.jpg,365.59,22.62,9.18,22.44
../food-101/train\peking_duck\3546142.jpg,360.07,18.38,11.53,28.43
../food-101/train\peking_duck\3547677.jpg,311.06,18.55,11.12,21.27
../food-101/train\peking_duck\3547837.jpg,348.35,17.88,8.53,23.63
../food-101/train\peking_duck\357506.jpg,308.72,22.57,10.87,27.52
../food-101/train\peking_duck\3576376.jpg,330.83,17.61,8.18,27.04
../food-101/train\peking_duck\358148.jpg,370.13,20.68,9.55,27.56
../food-101/train\peking_duck\3582402.jpg,323.09,23.0,9.23,27.89
../food-101/train\peking_duck\3582411.jpg,347.95,22.43,8.18,24.88
../food-101/train\peking_duck\3611150.jpg,319.56,21.07,10.47,21.82
../food-101/train\peking_duck\3628561.jpg,319.43,21.86,9.63,22.16
../food-101/train\peking_duck\3639145.jpg,359.6,20.97,11.24,27.57
../food-101/train\peking_duck\3639695.jpg,357.43,21.63,8.49,24.69
../food-101/train\peking_duck\3641129.jpg,362.28,19.43,9.26,24.47
../food-101/train\peking_duck\3649454.jpg,315.19,17.4,11.04,26.06
../food-101/train\peking_duck\365982.jpg,313.07,18.73,9.97,24.9
../food-101/train\peking_duck\366104.jpg,352.0,22.42,10.08,25.91
../food-101/train\peking_duck\3671817.jpg,316.05,22.17,10.46,23.02
../food-101/train\peking_duck\3674193.jpg,364.88,19.24,10.51,22.2
../food-101/train\peking_duck\3676141.jpg,337.59,18.63,10.87,22.62
../food-101/train\peking_duck\3678201.jpg,315.37,17.37,9.79,28.48
../food-101/train\peking_duck\3681039.jpg,351.52,20.49,11.26,23.81
../food-101/train\peking_duck\3693860.jpg,336.76,17.67,8.56,27.05
../food-101/train\peking_duck\3702136.jpg,354.9,21.81,11.94,22.05
../food-101/train\peking_duck\3708519.jpg,310.2,17.47,8.33,25.6
../food-101/train\peking_duck\3720856.jpg,340.9,19.7,9.74,26.24
../food-101/train\peking_duck\3723572.jpg,336.5,17.56,10.49,28.3
../food-101/train\peking_duck\3724482.jpg,306.74,22.79,11.8,28.68
../food-101/train\peking_duck\3734420.jpg,341.17,21.39,10.25,26.95
../food-101/train\peking_duck\3752471.jpg,363.24,17.82,10.79,22.08
../food-101/train\peking_duck\3753025.jpg,335.29,22.66,11.45,24.94
../food-101/train\peking_duck\377127.jpg,325.89,22.68,11.58,25.92
../food-101/train\peking_duck\3777568.jpg,358.21,18.98,9.73,21.31
../food-101/train\peking_duck\3781317.jpg,362.78,19.0,11.34,22.97
../food-101/train\peking_duck\3781454.jpg,319.08,18.96,10.95,27.96
../food-101/train\peking_duck\378184.jpg,310.92,18.57,10.36,28.14
../food-101/train\peking_duck\3785269.jpg,356.89,17.21,8.18,27.07
../food-101/train\peking_duck\3786070.jpg,315.9,19.93,9.49,27.1
../food-101/train\peking_duck\3791273.jpg,310.06,18.28,10.23,26.41
../food-101/train\peking_duck\3795790.jpg,370.66,17.15,9.92,25.9
../food-101/train\peking_duck\3796348.jpg,310.21,17.24,9.98,23.05
../food-101/train\peking_duck\3803040.jpg,343.38,22.82,10.14,25.17
../food-101/train\peking_duck\3807741.jpg,339.25,19.59,11.28,27.84
../food-101/train\peking_duck\3815148.jpg,311.36,18.27,11.9,26.77
../food-101/train\peking_duck\381567.jpg,357.95,17.24,9.47,25.05
../food-101/train\peking_duck\381597.jpg,306.56,17.33,11.49,26.2
../food-101/train\peking_duck\3830519.jpg,364.76,21.96,8.39,28.3
../food-101/train\peking_duck\3832254.jpg,348.21,22.67,11.09,26.77
../food-101/train\peking_duck\3832273.jpg,309.2,17.94,10.23,22.3
../food-101/train\peking_duck\3837.jpg,372.44,19.31,9.03,21.5
../food-101/train\peking_duck\383838.jpg,359.36,20.91,11.51,27.08
../food-101/train\peking_duck\383848.jpg,316.87,17.32,11.79,21.8
../food-101/train\peking_duck\3846114.jpg,356.0,21.95,10.62,25.29
../food-101/train\peking_duck\38467.jpg,367.84,17.46,9.05,21.96
../food-101/train\peking_duck\3847486.jpg,367.69,18.0,11.84,26.98
../food-101/train\peking_duck\3852210.jpg,312.04,20.93,9.95,25.92
../food-101/train\peking_duck\3854885.jpg,359.52,22.45,10.04,25.02
../food-101/train\peking_duck\3864321.jpg,341.9,19.07,8.91,26.51
../food-101/train\peking_duck\3866853.jpg,360.89,21.27,10.66,23.86
../food-101/train\peking_duck\3869985.jpg,348.65,17.53,9.95,27.8
../food-101/train\peking_duck\3882850.jpg,321.12,20.01,10.06,26.52
../food-101/train\peking_duck\388951.jpg,367.12,20.21,8.07,23.45
../food-101/train\peking_duck\3891192.jpg,322.2,17.86,10.34,23.73
../food-101/train\peking_duck\3905562.jpg,313.21,20.04,9.09,28.22
../food-101/train\peking_duck\39062.jpg,357.21,17.61,8.35,21.87
../food-101/train\peking_duck\3910626.jpg,359.86,17.08,11.02,28.23
../food-101/train\peking_duck\3919373.jpg,344.58,19.27,11.79,22.81
../food-101/train\peking_duck\3923700.jpg,326.48,21.1,10.36,22.42
../food-101/train\peking_duck\398468.jpg,355.84,19.02,8.94,25.53
../food-101/train\peking_duck\398602.jpg,345.97,22.82,9.33,24.42
../food-101/train\peking_duck\39998.jpg,334.65,21.71,8.33,26.95
../food-101/train\peking_duck\400549.jpg,370.67,22.69,11.95,24.36
../food-101/train\peking_duck\401008.jpg,371.41,21.13,8.05,23.0
../food-101/train\peking_duck\407336.jpg,343.3,21.2,8.24,23.12
../food-101/train\peking_duck\412119.jpg,322.41,17.5,9.21,26.74
../food-101/train\peking_duck\412689.jpg,346.6,22.64,10.27,27.72
../food-101/train\peking_duck\415741.jpg,362.63,17.78,9.58,25.07
../food-101/train\peking_duck\417039.jpg,316.78,19.92,9.12,23.09
../food-101/train\peking_duck\43061.jpg,315.81,19.26,8.19,21.45
../food-101/train\peking_duck\4308.jpg,352.46,22.73,10.29,26.58
../food-101/train\peking_duck\433870.jpg,310.2,20.48,11.83,27.66
../food-101/train\peking_duck\433938.jpg,324.35,21.2,8.39,25.33
../food-101/train\peking_duck\437921.jpg,308.38,18.7,8.53,24.41
../food-101/train\peking_duck\444663.jpg,313.91,18.85,11.32,22.48
../food-101/train\peking_duck\444670.jpg,360.49,21.01,9.05,24.77
../food-101/train\peking_duck\445856.jpg,367.66,20.59,9.19,27.12
../food-101/train\peking_duck\454750.jpg,356.91,18.59,9.38,24.26
../food-101/train\peking_duck\457196.jpg,343.81,20.29,11.57,27.0
../food-101/train\peking_duck\458395.jpg,318.3,22.98,11.94,21.62
../food-101/train\peking_duck\459487.jpg,373.71,18.85,9.43,25.68
../food-101/train\peking_duck\45979.jpg,316.21,21.62,10.43,27.56
../food-101/train\peking_duck\466375.jpg,348.19,22.86,8.6,23.14
../food-101/train\peking_duck\468728.jpg,359.49,20.22,11.61,26.59
../food-101/train\peking_duck\469467.jpg,317.33,17.66,11.69,28.67
../food-101/train\peking_duck\474600.jpg,347.79,20.27,10.75,27.62
../food-101/train\peking_duck\474603.jpg,343.49,19.45,11.86,23.82
../food-101/train\peking_duck\489339.jpg,372.67,19.31,8.02,27.18
../food-101/train\peking_duck\499238.jpg,352.48,20.37,11.53,25.12
../food-101/train\peking_duck\501508.jpg,359.93,19.24,10.45,25.92
../food-101/train\peking_duck\502047.jpg,324.41,21.77,10.66,28.02
../food-101/train\peking_duck\504055.jpg,342.29,19.83,9.53,21.29
../food-101/train\peking_duck\509318.jpg,371.03,22.22,11.67,25.26
../food-101/train\peking_duck\511982.jpg,357.45,17.39,9.77,28.56
../food-101/train\peking_duck\512495.jpg,339.74,22.06,11.01,28.53
../food-101/train\peking_duck\518516.jpg,373.74,20.01,9.98,26.96
../food-101/train\peking_duck\520063.jpg,309.84,17.08,10.58,27.55
../food-101/train\peking_duck\524708.jpg,329.38,19.85,11.02,24.74
../food-101/train\peking_duck\525499.jpg,363.37,21.71,10.77,27.18
../food-101/train\peking_duck\531659.jpg,310.79,21.56,9.6,28.74
../food-101/train\peking_duck\533234.jpg,371.18,18.99,10.81,21.86
../food-101/train\peking_duck\533237.jpg,347.46,19.7,10.06,27.93
../food-101/train\peking_duck\535775.jpg,353.0,18.91,11.01,26.1
../food-101/train\peking_duck\540938.jpg,315.67,19.5,10.32,24.42
../food-101/train\peking_duck\547474.jpg,371.48,17.42,9.0,24.47
../food-101/train\peking_duck\548505.jpg,317.58,21.05,11.95,22.35
../food-101/train\peking_duck\548594.jpg,310.82,18.31,10.24,21.89
../food-101/train\peking_duck\552437.jpg,318.99,18.44,11.98,23.81
../food-101/train\peking_duck\561591.jpg,345.29,22.02,10.94,28.63
../food-101/train\peking_duck\561948.jpg,342.63,19.74,10.96,25.35
../food-101/train\peking_duck\563461.jpg,323.66,21.61,10.32,28.42
../food-101/train\peking_duck\563464.jpg,308.64,22.25,9.85,22.32
../food-101/train\peking_duck\564841.jpg,364.51,21.32,8.26,23.99
../food-101/train\peking_duck\568031.jpg,367.66,21.63,11.49,26.15
../food-101/train\peking_duck\574748.jpg,340.8,17.21,10.26,26.3
../food-101/train\peking_duck\578932.jpg,319.23,20.37,8.07,26.13
../food-101/train\peking_duck\589496.jpg,327.49,19.24,10.21,25.61
../food-101/train\peking_duck\5925.jpg,327.58,19.4,10.83,23.41
../food-101/train\peking_duck\596294.jpg,316.27,18.52,8.37,28.34
../food-101/train\peking_duck\598132.jpg,371.42,18.9,10.43,22.79
../food-101/train\peking_duck\607865.jpg,307.28,19.29,9.25,23.63
../food-101/train\peking_duck\612863.jpg,328.55,19.73,10.66,27.19
../food-101/train\peking_duck\613527.jpg,331.28,20.48,10.79,25.0
../food-101/train\peking_duck\623046.jpg,316.64,17.99,11.32,21.57
../food-101/train\peking_duck\62351.jpg,354.71,19.0,8.82,22.56
../food-101/train\peking_duck\624533.jpg,306.7,20.53,10.11,25.81
../food-101/train\peking_duck\626218.jpg,314.88,21.41,9.47,26.88
../food-101/train\peking_duck\633870.jpg,360.59,20.43,10.98,23.36
../food-101/train\peking_duck\640286.jpg,365.38,20.76,8.17,24.66
../food-101/train\peking_duck\646175.jpg,337.13,17.04,11.13,23.36
../food-101/train\peking_duck\650518.jpg,359.61,21.92,11.76,27.06
../food-101/train\peking_duck\656317.jpg,313.53,20.49,11.94,21.48
../food-101/train\peking_duck\669430.jpg,313.3,21.25,9.73,28.11
../food-101/train\peking_duck\669716.jpg,347.73,22.14,9.23,23.37
../food-101/train\peking_duck\672021.jpg,350.49,19.46,8.99,23.61
../food-101/train\peking_duck\684638.jpg,339.66,18.07,10.01,26.94
../food-101/train\peking_duck\690453.jpg,353.39,22.01,11.53,27.38
../food-101/train\peking_duck\69195.jpg,361.63,19.55,11.17,25.49
../food-101/train\peking_duck\70566.jpg,359.45,17.47,10.65,26.09
../food-101/train\peking_duck\705811.jpg,311.5,18.29,10.2,21.28
../food-101/train\peking_duck\708474.jpg,360.24,22.76,11.77,23.99
../food-101/train\peking_duck\714046.jpg,369.21,19.78,9.48,22.98
../food-101/train\peking_duck\714928.jpg,325.31,22.02,9.43,24.13
../food-101/train\peking_duck\71526.jpg,346.55,21.13,10.06,25.65
../food-101/train\peking_duck\715530.jpg,367.38,19.41,9.15,27.79
../food-101/train\peking_duck\720265.jpg,352.16,22.29,10.58,21.75
../food-101/train\peking_duck\721432.jpg,349.76,19.13,8.1,21.89
../food-101/train\peking_duck\725170.jpg,335.49,18.98,8.13,22.43
../food-101/train\peking_duck\725182.jpg,353.57,17.28,10.2,23.35
../food-101/train\peking_duck\726569.jpg,335.31,22.9,10.71,27.25
../food-101/train\peking_duck\730293.jpg,336.57,22.48,9.92,28.35
../food-101/train\peking_duck\731148.jpg,317.01,21.49,11.93,25.12
../food-101/train\peking_duck\738638.jpg,310.53,22.58,9.06,26.88
../food-101/train\peking_duck\7407.jpg,308.51,19.29,9.11,23.87
../food-101/train\peking_duck\74455.jpg,311.05,18.33,10.22,26.3
../food-101/train\peking_duck\746550.jpg,367.28,20.52,10.68,22.79
../food-101/train\peking_duck\752251.jpg,338.29,22.64,9.92,22.04
../food-101/train\peking_duck\769672.jpg,308.66,17.33,11.49,23.1
../food-101/train\peking_duck\785074.jpg,345.43,18.95,10.67,27.56
../food-101/train\peking_duck\785075.jpg,371.29,20.97,10.79,21.61
../food-101/train\peking_duck\7934.jpg,323.08,19.53,10.33,27.07
../food-101/train\peking_duck\79718.jpg,328.75,20.19,11.66,28.37
../food-101/train\peking_duck\7972.jpg,320.76,19.34,9.99,21.71
../food-101/train\peking_duck\804293.jpg,338.06,19.32,8.51,25.74
../food-101/train\peking_duck\8098.jpg,330.06,18.37,9.55,27.31
../food-101/train\peking_duck\811588.jpg,351.18,19.43,11.55,23.79
../food-101/train\peking_duck\814851.jpg,312.51,20.84,10.03,28.25
../food-101/train\peking_duck\818650.jpg,356.7,21.56,9.29,28.51
